Project,Feature Module,Done,Testing,In Progress,Pending,Description
Kaptrain,"UI, CMS & System Core",60,31,2,4,"APP : not as figma (icone white white - angle of the box) , Cannot log out after email verification, Review Latest SVG..."
Kaptrain,Messenger & Notifications,4,6,0,2,"Incorrect error message for mandatory field, Chats / Messaging, Chats / Messaging..."
Kaptrain,Training Programs,14,8,0,1,"Agenda - Modification de séance, Slicing UI - Programmation & Programme, Cannot create session..."
Kaptrain,Sports & Records,6,4,0,0,"Cannot create Sports, Index Mes Record, Sélectionner mes sports favoris (User Information)..."
Kaptrain,Mobile Widgets,1,7,0,2,"Widget - Widget Detail Screen, Widget - erreurs & états limites, Widget - Daily Steps..."
Kaptrain,Sign In & Profile,23,4,0,1,"Update checklist in email field - Login and Regist Form, The device back button incorrectly redirects the user to the OTP input screen, Onboarding Auth - Sign In..."
Kaptrain,Coach/Athlete Invitation,2,1,0,1,"The coach couldn’t invite the user, Invitations, Invitation Code Coach..."
Kaptrain,Wellness Tracking,4,3,0,0,"Slicing UI - Wellness, Show the daily wellness prompt once per day; if dismissed, it should not reappear, Wellnes - Daily Wellness Check-In..."
Kaptrain,Subscriptions & Payments,5,2,0,0,"Abonnements (admin) Integration, [Design] Subscription Page, Subscription data fails to load in the User Management menu..."
Kaptrain,Athlete Management (CMS),1,0,0,1,"Athlete list, pending athlete, confirm/refuse athlete, Athlete List (Card View)"
NFA,Global Admin Console,0,0,0,7,"[WIRE] Wire all Admin CRUD pages to API, handle pagination/skeletons, [BE] Develop CRUD endpoints for Suppliers (Filter by country), [FE] Develop Head Office page (Table, Details Drawer, Archive Modal)..."
NFA,E-Commerce,0,0,0,7,"[BE] Develop Cart & Ordering Core Engine (Total/Subtotal logic), [FE] Develop Cart UI (Subtotals, destination changers, confirmations), [BE] Develop Catalogue API with ""Standard"" and ""Template"" modes..."
NFA,Mobile Store Exp,0,0,0,6,"[FE] Develop Mobile Cart (Swipe to delete, Qty spin box, Checkout btn), [WIRE] Wire all mobile specific interactions to centralized backend APIs, [FE] Develop Mobile Catalogue Infinite Scroll Feed and Detail Page..."
NFA,HO Hub,0,0,0,6,"[FE] Develop HO Dashboard Layout (Widgets, Side Drawers for KPIs), [WIRE] Wire Store Management CRUD to frontend layout, [FE] Develop Store Management page (Table, 3-part Creation Form, Activity flow)..."
NFA,InDesign Engine,0,0,0,7,"[BE] Develop Background Worker payload for automated PDF generation, [WIRE] Wire the 6-step Wizard, handle heavy file uploads, and long-polling UI, [FE] Develop Template Details View showing background task generation status..."
NFA,Core Infrastructure,0,0,0,8,"[WIRE] Integrate Admin & HO Auth APIs with frontend state, [BE] Setup PostgreSQL database schema & user relations (Admin, HO, Store), [WIRE] Integrate Mobile OTP flow & handle token storage..."
NFA,Supply Chain,0,0,0,5,"[FE] Develop ""Send Stock"" Drawer UI (Target Store, Quantity, Confirmation), [BE] Build Inventory ledger API (Stock in/out, transfers to specific Store), [FE] Develop ""Stock History"" UI with Date Pickers and CSV Export..."
